residual sugar,alcohol,quality
2.7,13.5,Good
2.1,10.6,Good
6.6,13.3,Good
2.7,13.5,Good
5.2,10.6,Good
1.1,10.8,Good
5.15,10.5,Good
1.8,12.2,Good
7.4,11.1,Good
14.6,8.6,Good
14.6,8.6,Good
14.6,8.6,Good
1.8,12.1,Good
1.8,12.1,Good
1.8,11.4,Good
1.6,12.9,Good
1.4,12.8,Good
6.8,12.6,Good
1.8,10.7,Good
2.3,12.8,Good
17,9.3,Good
6.2,12.2,Good
6.3,11.9,Good
3.9,12.8,Good
3.9,12.7,Good
1.4,10.8,Good
5.7,10.6,Good
1.4,11.3,Good
1.2,10.1,Good
9.2,12,Good
2.7,12.4,Good
1.7,11.2,Good
1.6,11.1,Good
8.5,12,Good
5.7,12.3,Good
4.5,13.7,Good
1.2,11.3,Good
4.5,13.7,Good
1.6,12.3,Good
1.2,11.3,Good
13.1,8.9,Good
13.1,8.9,Good
13.1,8.9,Good
13.1,8.9,Good
1.6,10.8,Good
1.1,10.4,Good
2.9,12.1,Good
1.1,10.4,Good
14,11.8,Good
3,12.3,Good
14,11.8,Good
9.6,12.3,Good
1.2,12.1,Good
9.3,11,Good
4.6,12.6,Good
1.5,9.8,Good
9.4,11,Good
9.3,11,Good
8.1,11.2,Good
7.7,11.1,Good
1.8,12.6,Good
7.6,11,Good
8.2,11.2,Good
1.3,10.7,Good
1.5,12.2,Good
7.4,11.9,Good
1.9,13.5,Good
4.9,9.5,Good
11.8,10,Good
3.2,11.3,Good
1.5,10.6,Good
3.2,11.3,Good
1,10.5,Good
6.7,11,Good
15.55,9.1,Good
12.3,10.2,Good
15.55,9.1,Good
9.4,10.5,Good
1.2,12.1,Good
3.95,12.8,Good
1.4,10.8,Good
1.2,10.5,Good
6.5,11.4,Good
6.5,11.4,Good
14.4,9,Good
14.4,9,Good
17.85,9.1,Good
14.4,9,Good
17.85,9.1,Good
14.4,9,Good
2.6,10.8,Good
2.7,10.9,Good
2.5,11.4,Good
1.4,10.2,Good
1.5,11,Good
4.5,12.2,Good
6.8,11.6,Good
2.6,11.8,Good
2.1,12.1,Good
1.6,12.1,Good
4.1,12.8,Good
13.9,12,Good
4.1,12.8,Good
11.2,11.3,Good
11.2,11.3,Good
15.1,12,Good
11.2,11.3,Good
15.1,12,Good
2.2,11,Good
2.2,11,Good
1.6,11,Good
1.6,10.4,Good
6.4,10.5,Good
2.3,11.5,Good
7.3,11.8,Good
8.5,10.1,Good
1.9,12.6,Good
2.7,12,Good
5.7,12.5,Good
5.7,12.5,Good
11.1,10.2,Good
4.6,11.1,Good
1.4,10.2,Good
8.2,13,Good
9.2,9.5,Good
3.2,11.7,Good
3.2,11.7,Good
3.3,12.3,Good
7.7,12.2,Good
4.7,12.5,Good
2.1,11.6,Good
8.45,9.7,Good
4.9,12,Good
1.6,12.1,Good
4.9,12.2,Good
4.9,12.2,Good
2.7,11.5,Good
4,12.4,Good
12.8,9.1,Good
12.8,9.1,Good
12.8,9.1,Good
12.8,9.1,Good
12.8,9.1,Good
12.8,9.1,Good
12.8,9.1,Good
5.4,9,Good
11.7,9.5,Good
3.9,11.3,Good
1.6,9.9,Good
2.2,12.5,Good
10.8,11.4,Good
10.8,11.4,Good
11.6,9.5,Good
11.6,9.5,Good
7.1,10.6,Good
1.4,10.5,Good
1.4,10.5,Good
1.4,10.5,Good
6.5,12.6,Good
1.4,10.5,Good
6.5,12.6,Good
6.4,12.2,Good
7.2,10.6,Good
6.4,12.2,Good
2.3,12.6,Good
5,12.2,Good
2.8,12,Good
3.3,12.6,Good
1.6,12,Good
1.7,12.7,Good
1.4,10.7,Good
7,12.5,Good
6,10.5,Good
1.5,9.6,Good
7.9,13.3,Good
1.6,11,Good
10.8,10.3,Good
6.3,11.6,Good
1.5,11.1,Good
1.5,11.1,Good
5.2,12.3,Good
4.7,12.3,Good
3.1,11.9,Good
3.1,11.9,Good
1.4,11.5,Good
1.4,11.5,Good
1.7,10.7,Good
1.1,11.2,Good
1.2,11.2,Good
1.1,11.2,Good
1.2,11.2,Good
1.1,11.2,Good
1.8,12.3,Good
1.7,12.6,Good
12.8,9,Good
12.8,9,Good
12.8,9,Good
12.8,9,Good
12.8,9,Good
12.8,9,Good
12.8,9,Good
8.5,11,Good
5,13.5,Good
1.1,11.3,Good
2.8,11.3,Good
2.8,11.3,Good
2.8,11.3,Good
14.2,10.3,Good
14.2,10.3,Good
14.2,10.3,Good
2.9,11.3,Good
2.9,11.3,Good
14.2,10.3,Good
1.7,10.4,Good
1.7,10.7,Good
2.4,11.7,Good
5.2,10.1,Good
1.2,10.9,Good
2.3,12.9,Good
1.2,11.1,Good
12.6,10.3,Good
6.6,12.5,Good
2,12.9,Good
1.4,11.2,Good
2,12.9,Good
2,12.9,Good
13.3,9.5,Good
5.6,10.3,Good
5.6,10.3,Good
2.6,11.2,Good
5,11.5,Good
4.6,12,Good
5.2,12.3,Good
1.7,11.4,Good
1.7,11.4,Good
9.1,9.8,Good
4.8,12.4,Good
4.3,12.8,Good
14.4,8.8,Good
3.6,13.1,Good
3.6,12.5,Good
3.6,12.5,Good
2.2,13.5,Good
2.2,13.5,Good
1.6,11.4,Good
1.3,12.4,Good
2.7,12.2,Good
3.6,12.1,Good
2.7,12.2,Good
1,13,Good
1,13,Good
1.2,11.5,Good
1.2,11.5,Good
3.4,11.3,Good
2.3,11.2,Good
0.9,11.1,Good
7.4,10.9,Good
2.3,11.2,Good
5,11.2,Good
1.25,12,Good
5,11.2,Good
1.25,12,Good
1.4,12.7,Good
1.4,12.7,Good
1.8,12,Good
1.5,12.1,Good
2.7,11.8,Good
3.95,13.4,Good
7.75,12.8,Good
1.7,12,Good
1.4,11.7,Good
2.2,11.9,Good
0.9,10.8,Good
2.2,11.9,Good
1.95,13.5,Good
9.1,12,Good
9.1,12,Good
2.9,12.4,Good
5.45,13.2,Good
14.05,11,Good
4.9,13,Good
7.9,12.2,Good
5,12.4,Good
11.1,10.5,Good
10.2,10.9,Good
10.2,10.9,Good
9.8,10.9,Good
6.3,11.4,Good
4.5,12.6,Good
6.3,11.6,Good
10.9,10.5,Good
9.8,10.9,Good
9.8,10.9,Good
1.3,13.3,Good
9.8,10.9,Good
10.2,10.9,Good
10.9,10.5,Good
6.3,11.6,Good
6.3,11.4,Good
4.5,12.6,Good
3.7,13,Good
1.2,11,Good
2.5,11.3,Good
10.2,10.4,Good
10.2,12.1,Good
1.5,12.2,Good
4.5,13.7,Good
4.5,13.7,Good
3.2,12,Good
2.3,11.9,Good
1.4,11.3,Good
6.7,11,Good
2.1,12.2,Good
4.3,10.7,Good
2.3,11.9,Good
1.9,11.9,Good
2.5,11,Good
1.9,11.9,Good
1.4,12.9,Good
6.9,11,Good
8.1,12.7,Good
7.4,12,Good
7.4,12,Good
4.8,12.7,Good
7.4,12,Good
4.8,12.7,Good
6.1,12.1,Good
1,11.4,Good
1.3,12.8,Good
1.5,12.5,Good
9.1,11,Good
9.1,11,Good
6.3,12,Good
5.1,12.4,Good
2.4,12.8,Good
9.1,11,Good
5,12.4,Good
6.75,12.9,Good
2.6,12.8,Good
2.65,13.3,Good
1.1,11,Good
4.6,11,Good
3.3,12.3,Good
1.1,12.6,Good
3.3,12.3,Good
8.55,13.4,Good
4.5,11.1,Good
4.6,11,Good
18.75,9.3,Good
5.7,12,Good
2.4,11.3,Good
1.9,11.8,Good
1.4,11.1,Good
2.3,10.1,Good
2.9,10.9,Good
2.8,10.9,Good
2.9,10.9,Good
1.8,12,Good
8.7,12.3,Good
5,13.5,Good
1.9,12.8,Good
2,12.8,Good
1.9,12.8,Good
5.2,12.4,Good
2.1,12.9,Good
1.1,11.1,Good
1.3,12.9,Good
1.1,11.8,Good
1.2,12.7,Good
1.8,12.4,Good
1.8,12.5,Good
5,12.6,Good
1.3,10.4,Good
3.7,12.1,Good
13.55,9.5,Good
12.8,11.8,Good
12.2,11.3,Good
1.3,11.3,Good
4.8,12.3,Good
10.6,11.5,Good
2.1,13.2,Good
3.6,12.1,Good
6.9,10.7,Good
3.6,12.1,Good
11.3,12.8,Good
4.6,11.5,Good
4.6,11.5,Good
2.1,12.7,Good
2.1,12.7,Good
1.3,12.9,Good
5,11.8,Good
4.75,13,Good
5.35,11.5,Good
5.35,11.5,Good
1.3,11.1,Good
2.6,13.9,Good
1.6,12.9,Good
1.8,11.8,Good
4.7,13.1,Good
8.15,13,Good
4.8,10.2,Good
1.8,11.8,Good
15.5,13,Good
15.5,13,Good
2.4,11.6,Good
3.95,11.3,Good
3,13.1,Good
15.5,13,Good
4.2,13.4,Good
1.4,11.5,Good
3,11.2,Good
2.4,13.5,Good
1.4,11.7,Good
1.3,12.3,Good
2,13.3,Good
1.8,13.7,Good
7.5,13.4,Good
3.8,11.3,Good
3.1,13.1,Good
4.8,12.2,Good
10.2,12.2,Good
1.1,11.3,Good
1.1,11,Good
2.6,11.3,Good
7.25,11.5,Good
7,12.8,Good
7.25,11.5,Good
1,11.7,Good
4.2,10.7,Good
1.5,12,Good
3.9,10.7,Good
4.2,10.7,Good
7.6,10.7,Good
1,12.1,Good
1.1,11.9,Good
1.4,12.3,Good
1.6,10.4,Good
7.1,12.6,Good
12.6,10,Good
4.7,10.7,Good
12.6,10,Good
6.1,12.8,Good
8.8,11,Good
1.4,11.3,Good
4.8,11.2,Good
2.4,12.5,Good
2,11.4,Good
4.5,12.2,Good
3.2,12.6,Good
5.7,13,Good
8.5,12.2,Good
5.4,10.8,Good
11.7,10.5,Good
1.6,12.7,Good
6.2,12.9,Good
1.2,13.6,Good
1.2,13.6,Good
9.6,10.5,Good
1.2,11.3,Good
8,12.6,Good
4.4,11.5,Good
9.6,10.5,Good
8,12.6,Good
1.2,11.3,Good
2.5,11.9,Good
6.9,10.8,Good
2.9,11.3,Good
6.9,10.8,Good
5.4,13.5,Good
14.7,9,Good
14.7,9,Good
14.7,9,Good
14.7,9,Good
14.7,9,Good
14.7,9,Good
14.7,9,Good
14.7,9,Good
2.5,11.1,Good
1.4,11.4,Good
7.7,12.7,Good
2.7,13.2,Good
8.8,12.9,Good
2.5,11.3,Good
5.8,13.2,Good
10.6,11.5,Good
4,13.2,Good
3.1,13.7,Good
4.6,12.5,Good
4,13,Good
1.6,9.9,Good
1.3,11,Good
1.9,14,Good
3.8,12.5,Good
3.8,12.5,Good
2.4,12.8,Good
4.8,11.2,Good
4.8,11.2,Good
3.8,12.5,Good
4.8,11.2,Good
1.9,14,Good
1.6,14.2,Good
2.4,12.8,Good
2.2,12.7,Good
1.3,10.8,Good
5.8,13,Good
3.8,11.8,Good
10.6,9.8,Good
1.7,11.9,Good
7.6,12.8,Good
1.7,10.4,Good
4.5,10.7,Good
1.7,11.9,Good
7.6,12.8,Good
3.7,10.5,Good
8.9,11,Good
8.9,11,Good
8.9,11,Good
3.1,12.8,Good
5.2,12.3,Good
3.1,12.8,Good
15.5,8.7,Good
15.5,8.7,Good
15.5,8.7,Good
15.5,8.7,Good
17.55,9,Good
15.5,8.7,Good
15.5,8.7,Good
17.55,9,Good
12.7,10.4,Good
4.9,12.8,Good
4.1,11.7,Good
4.7,12.5,Good
1.4,11.1,Good
3.5,12,Good
1.6,11.5,Good
6,13.4,Good
5.4,11,Good
15.5,9.7,Good
5.4,11,Good
1.4,13.9,Good
13.7,8.7,Good
13.7,8.7,Good
13.7,8.7,Good
13.7,8.7,Good
13.7,8.7,Good
13.7,8.7,Good
1.4,12,Good
3.5,12.1,Good
1.5,12.6,Good
13.7,8.7,Good
2.4,11.1,Good
4.2,11.3,Good
2.5,11.8,Good
4,12.6,Good
1.2,10.8,Good
6.5,12.5,Good
10.7,10.4,Good
3.2,10.1,Good
1.8,11.9,Good
4.2,10.8,Good
2.3,12.7,Good
2.3,12.7,Good
2.3,12.7,Good
2.4,13,Good
1.6,11,Good
7.3,11.94,Good
5.4,12.8933333333,Good
1.9,12.2,Good
7.3,11.94,Good
5.4,12.8933333333,Good
1.2,10.5,Good
2.6,11.3,Good
3.3,12.8,Good
3.3,12.8,Good
4.9,13.1,Good
10.4,11.5,Good
4.9,13.1,Good
10.4,11.5,Good
2.7,13,Good
8.4,14.05,Good
9.3,10.7,Good
10.2,10.8,Good
10.6,10.7,Good
1.4,10.8,Good
1.3,12.5,Good
1.2,13.05,Good
9.7,12.9,Good
2.3,12,Good
1.2,11.8,Good
1,11.4,Good
3.2,12.6,Good
4.25,11.2666666667,Good
2,13.4,Good
4.25,11.3,Good
1.4,11.5,Good
4.1,13,Good
2,11.6,Good
12.2,10.4,Good
2.3,10.9,Good
1.3,12.4,Good
1.1,13.1,Good
1,10.65,Good
1,11.4,Good
4.9,13.1,Good
2.5,12.8,Good
10.8,10.9666666667,Good
10.8,10.9666666667,Good
10.8,10.9666666667,Good
10.8,11,Good
6,10.1333333333,Good
6.1,10.1333333333,Good
6.1,10.15,Good
6,10.15,Good
6.2,11.8,Good
3.2,11.6333333333,Good
6.2,11.8,Good
19.25,9.1,Good
19.25,9.1,Good
9,12.9,Good
9,12.9,Good
1.4,10.9,Good
1.85,11.8,Good
4,12.2,Good
1.85,11.8,Good
9,12.3,Good
1.3,12.1,Good
3.5,13.6,Good
3.5,13.6,Good
1.5,11.9,Good
3.9,11.75,Good
1.2,9.4,Good
1.7,12,Good
2.4,11.7,Good
1.1,10.7,Good
1.1,10.7,Good
1.1,11.6,Good
1.1,10.7,Good
5.8,11.9,Good
1.1,11.4,Good
3.2,13.7,Good
4.6,12,Good
9.9,12.1,Good
1.5,12,Good
8.9,11.95,Good
5.1,12.2,Good
4,13.3,Good
6.6,11.45,Good
2.5,11.6,Good
5.7,12.15,Good
1.9,13,Good
1.1,12.8,Good
20.7,8.8,Good
1.6,9.5,Good
6.9,10.1,Good
8.5,9.9,Good
8.5,9.9,Good
6.9,10.1,Good
7,9.6,Good
20.7,8.8,Good
1.6,9.5,Good
1.5,11,Good
1.1,9.6,Good
1.1,11.3,Good
1.3,10,Good
9,10.4,Good
1,10,Good
8.7,10.5,Good
1.1,11.6,Good
10.4,10,Good
1.1,10.2,Good
2.05,10.8,Good
1.5,9,Good
1.2,11.2,Good
2.5,9.4,Good
2.9,9.4,Good
7.4,9.8,Good
1.4,9.5,Good
1.4,9.5,Good
7.4,9.8,Good
1.6,11.7,Good
1,10.9,Good
0.9,9.1,Good
1.3,11,Good
11.9,9.6,Good
12.4,8.9,Good
4.6,10.2,Good
1.2,9.9,Good
4.9,8.6,Good
12.4,8.9,Good
4.6,10.2,Good
1.4,10.3,Good
7.8,9,Good
1,9.1,Good
1.4,10.6,Good
16,9.2,Good
8.2,9.5,Good
11.8,8.7,Good
11,8.7,Good
13.3,9.7,Good
11.8,8.7,Good
11,8.7,Good
12.4,9.2,Good
15.9,8.8,Good
15.9,8.8,Good
14.4,9.2,Good
16.5,9.1,Good
16.5,9.1,Good
8.5,8.8,Good
3.3,11.3,Good
1.7,11.8,Good
5,9.1,Good
1.6,9.8,Good
1.1,11,Good
2.7,10.9,Good
1.2,10.7,Good
1.9,11.8,Good
1.2,10.8,Good
4.3,9.7,Good
2,11.2,Good
1.1,10.9,Good
1.4,10.1,Good
4.1,9.4,Good
10.2,9.9,Good
4.1,9.4,Good
7.5,9.7,Good
14,8.9,Good
14,8.9,Good
14,8.9,Good
8.7,9.6,Good
1.5,12.7,Good
1.5,11,Good
7.5,11.4,Good
5.5,9.2,Good
5.5,9.3,Good
14,9.6,Good
9.4,9.9,Good
8.5,8.9,Good
8,11.4,Good
3.5,9.1,Good
13.9,12,Good
0.9,9.5,Good
5.3,9.7,Good
9.5,9.1,Good
0.8,9.1,Good
1.8,10.4,Good
2.4,9.7,Good
10.3,9.1,Good
2.4,9.7,Good
7.8,9.6,Good
7.8,9.5,Good
14.3,9,Good
14.3,9,Good
14.3,9,Good
14.3,9,Good
13.2,9.6,Good
15.55,9.6,Good
2.7,9.7,Good
2,11.3,Good
1.5,9.3,Good
1.8,11.8,Good
5.4,10.2,Good
13.6,9.6,Good
1.2,10.6,Good
8.3,9.2,Good
7.1,9.7,Good
7,9.7,Good
8.3,9.2,Good
8.9,9.8,Good
9.1,9.8,Good
15.7,9.7,Good
5.8,10.5,Good
1.2,9.4,Good
11.3,10,Good
2.1,10.3,Good
1.6,10.8,Good
0.9,10.5,Good
1.6,10.8,Good
1.3,11.1,Good
6.8,9.9,Good
6.8,9.9,Good
6.7,9.9,Good
4.8,10.4,Good
3.7,10,Good
6.7,10,Good
1.1,9.1,Good
4.7,10.6,Good
3.3,10.1,Good
4.7,10.6,Good
9.3,10.4,Good
15.15,10,Good
6.3,10,Good
15.4,9.6,Good
1.8,11.8,Good
1.8,11.8,Good
1.5,11.2,Good
12.3,9.3,Good
1.5,10,Good
9.7,9.1,Good
3,10,Good
4.6,9.6,Good
15.6,8.8,Good
13.6,10,Good
2.5,9.6,Good
4.4,9.6,Good
14.3,9,Good
14.3,9,Good
1.1,9.5,Good
1.4,10.4,Good
4.7,10.6,Good
14.9,10.2,Good
5.3,9.7,Good
14.3,9,Good
1.5,10.8,Good
1,9.4,Good
2.3,10.6,Good
1,9.4,Good
2.3,10.6,Good
2.4,9.2,Good
2.6,10,Good
12.5,9,Good
9.6,9.2,Good
2.4,9.2,Good
5.4,9.7,Good
9.8,10.2,Good
2,12.2,Good
1.5,11.4,Good
2.9,11.7,Good
1.5,11.4,Good
6.3,12.6,Good
1.2,10.3,Good
18.95,9,Good
12.7,9.6,Good
18.95,9,Good
12.7,9.6,Good
1.2,9.8,Good
1.2,9.8,Good
1.6,10.5,Good
8.7,10.4,Good
8.6,10.4,Good
8.6,10.4,Good
8.7,10.4,Good
8.6,10.4,Good
6.6,10.4,Good
12.2,9.3,Good
20.8,11,Good
14,9.8,Good
14,9.8,Good
14,9.8,Good
1,9.8,Good
2.2,9.4,Good
9,9.4,Good
2.2,9.4,Good
12.15,9.3,Good
2,12.5,Good
4.5,9.4,Good
1.5,10.5,Good
1.7,9.2,Good
1.7,10.4,Good
1.3,10.6,Good
1.5,9.7,Good
1.5,9.7,Good
1.3,10.7,Good
1.6,10.5,Good
7.6,8.9,Good
1,12.1,Good
8.9,9.9,Good
1.8,11.4,Good
4.7,10.7,Good
7,12.5,Good
1.6,12.5,Good
16.7,9.5,Good
14.2,9.6,Good
2.25,9.9,Good
12.2,8.9,Good
12.2,8.9,Good
3.5,12,Good
1.3,10,Good
1.8,12.1,Good
5.2,11,Good
1.4,11.2,Good
2.2,10.4,Good
1.7,10.4,Good
1.9,10.8,Good
1.3,11.4,Good
1.7,11.2,Good
3.3,9.2,Good
1.8,12.6,Good
1.6,12.2,Good
4.5,11.2,Good
4.9,9.7,Good
13.2,9,Good
13.2,9,Good
13.2,9,Good
13.2,9,Good
4.55,9.5,Good
1.1,9.9,Good
8.7,9.9,Good
13.9,9,Good
1.4,10,Good
7.2,9.7,Good
1.9,11.8,Good
1.6,10.4,Good
4.2,12.3,Good
8.8,9.2,Good
10.3,10,Good
12.4,11.5,Good
2.2,9.8,Good
5.2,9.4,Good
1.8,10.2,Good
1.8,10.2,Good
6.4,10.1,Good
10.7,9.7,Good
10.7,9.7,Good
7.9,8.9,Good
5.8,9.5,Good
1.2,10.9,Good
4.9,10.8,Good
